level_0,index,society,price,sector,price_per_sqft,area,property_type,areaWithType,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,servant room,pooja room,study room,others,store room,furnishing_type,luxary_score
197,202,,0.35,sector 9,9722.0,360.0082287595145,house,Plot area 40(33.45 sq.m.),,360.0,,2.0,2.0,1 ,2.0,South-East,old property,0,0,0,0,0,1,0
198,203,,4.99,sector 2,18889.0,2641.749166181376,house,Plot area 270(225.75 sq.m.),,270.0,,4.0,4.0,3+ ,3.0,North,moderately old,1,1,0,0,1,1,43
199,204,the close north,2.35,sector 50,11227.0,2093.0,flat,Super Built up area 2093(194.45 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),2093.0403549999996,2000.0,1850.0,3.0,3.0,3 ,8.0,North-East,moderately old,0,0,0,0,1,0,149
200,205,spaze privvy the address,1.25,sector 93,6900.0,1812.0,flat,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1804.9983909999999,1350.0,1100.0,3.0,4.0,2 ,12.0,North-East,relatively new,0,0,0,0,0,0,96
201,206,emaar imperial gardens,1.98,sector 102,9900.0,2000.0,flat,Carpet area: 2000 (185.81 sq.m.),,,2000.0,3.0,3.0,3+ ,9.0,North,relatively new,1,0,0,0,0,0,72
202,207,ansal sushant lok,10.5,sector 43,27911.0,3761.957651105299,house,Plot area 418(349.5 sq.m.),,3762.0,,4.0,4.0,2 ,,North-East,old property,1,0,0,0,0,1,59
203,208,adani brahma samsara vilasa,3.35,sector 63,16470.0,2034.0,flat,Super Built up area 2034(188.96 sq.m.),2033.946544,,,3.0,3.0,3+ ,3.0,,new Property,0,0,0,0,0,0,16
204,209,bestech park view sanskruti,1.6,sector 92,8020.0,1995.0,flat,Super Built up area 1995(185.34 sq.m.)Built Up area: 1615 sq.ft. (150.04 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),1994.9812259999999,1615.0,1476.0,3.0,4.0,3+ ,10.0,North-West,relatively new,1,0,0,1,0,0,174
205,210,,4.6,sector 31,32258.0,1426.002852005704,house,Built Up area: 1426 (132.48 sq.m.)Carpet area: 1069 sq.ft. (99.31 sq.m.),,1426.0,1069.0,2.0,2.0,2 ,2.0,East,undefined,0,0,0,0,0,1,0
206,211,emaar mgf emerald floors premier,2.85,sector 65,14430.0,1975.0,flat,Super Built up area 1975(183.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.),1974.9603719999998,1800.0,,4.0,4.0,3 ,2.0,South-West,relatively new,1,0,1,0,0,1,21
207,212,lord krishna,2.7,sector 12,8571.0,3150.0,flat,Built Up area: 3150 (292.64 sq.m.),,3150.0,,4.0,3.0,3 ,6.0,North-East,undefined,0,0,0,0,0,1,0
208,213,m3m soulitude,1.14,sector 89,8000.0,1425.0,flat,Carpet area: 1423 (132.2 sq.m.),,,1423.0,3.0,3.0,2 ,2.0,East,new Property,0,0,1,0,0,1,77
209,214,,6.5,sector 25,36111.0,1800.00553847858,house,Plot area 200(167.23 sq.m.),,1800.0,,4.0,4.0,3+ ,2.0,North-East,moderately old,1,1,1,0,1,1,61
210,215,,4.0,sector 38,21786.0,1836.0414945377763,house,Plot area 204(170.57 sq.m.),,1836.0,,6.0,6.0,3+ ,4.0,North-East,old property,1,1,1,1,0,0,137
211,216,dlf city plots,13.5,sector 26,29880.0,4518.0722891566265,house,Plot area 502(419.74 sq.m.),,4518.0,,5.0,5.0,2 ,2.0,East,moderately old,1,0,1,1,0,0,104
212,217,,0.69,sector 7,9103.0,757.9918708118201,house,Built Up area: 758 (70.42 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),,758.0,500.0,1.0,1.0,1 ,2.0,,undefined,0,0,0,0,0,1,0
213,218,supertech araville,0.95,sector 79,6209.0,1530.0,flat,Super Built up area 1530(142.14 sq.m.),1529.9807459999997,,,2.0,2.0,3 ,7.0,North-East,new Property,0,0,1,0,0,1,49
214,219,satya the hermitage,4.35,sector 103,13501.0,3221.983556773572,house,Plot area 358(299.33 sq.m.),,3222.0,,4.0,4.0,3+ ,2.0,North,relatively new,1,1,1,0,1,0,138
215,220,godrej,1.29,sector 79,8206.0,1572.0,flat,Super Built up area 1572(146.04 sq.m.),1571.959956,,,2.0,2.0,3 ,4.0,,new Property,0,0,0,0,0,1,0
216,221,tulip ivory,2.0,sector 70,8333.0,2400.0,flat,Super Built up area 2400(222.97 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),2400.026783,,1850.0,4.0,5.0,3+ ,6.0,East,moderately old,1,0,0,0,0,0,95
217,222,mapsko mount ville,1.2,sector 79,13837.0,867.0,flat,Super Built up area 1510(140.28 sq.m.)Carpet area: 867.24 sq.ft. (80.57 sq.m.),1509.9598919999999,,867.24,3.0,3.0,3 ,18.0,North,relatively new,0,1,1,0,0,0,160
218,223,bestech altura,2.55,sector 79,9532.0,2675.0,flat,Built Up area: 2675 (248.52 sq.m.),,2675.0,,4.0,5.0,2 ,4.0,East,new Property,1,0,0,0,0,1,44
