level_0,index,society,price,sector,price_per_sqft,area,property_type,areaWithType,super_built_up_area,built_up_area,carpet_area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,servant room,pooja room,study room,others,store room,furnishing_type,luxary_score
893,911,signature global solera,0.28,sector 107,5725.0,489.0,flat,Carpet area: 489 (45.43 sq.m.),,,489.0,2.0,2.0,2 ,10.0,South,relatively new,0,0,0,0,0,1,38
894,912,krisumi waterfall residences,2.3,sector 36a,15551.0,1479.0,flat,Built Up area: 1479 (137.4 sq.m.),,1479.0,,2.0,2.0,2 ,23.0,,undefined,0,0,0,0,0,1,58
895,913,bestech park view residency,0.98,sector 2,6932.0,1414.0,flat,Super Built up area 1415(131.46 sq.m.),1415.022294,,,2.0,2.0,3 ,11.0,East,moderately old,0,0,0,0,0,1,83
896,914,mapsko casa bella,1.25,sector 82,6377.0,1960.0,flat,Super Built up area 1960(182.09 sq.m.),1959.998551,,,3.0,4.0,3+ ,8.0,,under construction,0,0,0,0,0,1,54
897,915,hero homes,1.9,sector 104,11249.0,1689.0,flat,Super Built up area 1689(156.91 sq.m.)Carpet area: 1082 sq.ft. (100.52 sq.m.),1688.9635489999998,,1082.0,3.0,3.0,3 ,16.0,,under construction,0,1,0,0,0,0,103
898,916,imperia the esfera,0.99,sector 37c,5500.0,1800.0,flat,Super Built up area 1815(168.62 sq.m.),1815.008818,,,3.0,3.0,1 ,10.0,North-East,new Property,1,0,0,0,0,1,49
899,917,tulip violet,1.19,sector 69,8814.0,1350.0,flat,Carpet area: 1350 (125.42 sq.m.),,,1350.0,2.0,3.0,1 ,0.0,West,relatively new,0,0,1,0,0,0,174
900,918,ireo the corridors,1.6,sector 67a,9264.0,1727.0,flat,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),1726.960116,,1017.0,3.0,3.0,2 ,3.0,North,new Property,0,0,0,0,1,0,142
901,920,bestech park view city,1.76,sector 48,9909.0,1776.0,flat,Super Built up area 1776(165 sq.m.)Built Up area: 1576 sq.ft. (146.42 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),1776.0435,1576.0,1476.0,3.0,3.0,3+ ,9.0,South,moderately old,1,1,0,0,0,0,158
902,921,shree vardhman flora,0.65,sector 90,4961.0,1310.0,flat,Super Built up area 1300(120.77 sq.m.)Built Up area: 1225 sq.ft. (113.81 sq.m.)Carpet area: 1075 sq.ft. (99.87 sq.m.),1299.956203,1225.0,1075.0,2.0,2.0,3 ,11.0,North-West,relatively new,0,0,1,0,0,0,49
903,922,rwa,0.48,sector 7,6000.0,800.0,flat,Carpet area: 800 (74.32 sq.m.),,,800.0,3.0,2.0,1 ,1.0,North-East,new Property,0,0,0,0,0,1,21
904,923,vipul tatvam villa,8.5,sector 48,21250.0,4000.0,house,Plot area 4000(371.61 sq.m.),,4000.0,,4.0,5.0,3+ ,2.0,North,moderately old,1,1,1,1,0,0,49
905,924,unitech vistas,0.53,sector 70,4800.0,1104.0,flat,Super Built up area 1095(101.73 sq.m.),1095.011547,,,2.0,2.0,2 ,9.0,,under construction,0,0,0,1,0,1,24
906,925,godrej nature plus,1.15,sector 33,11558.0,995.0,flat,Carpet area: 92.44,,984.4,,2.0,2.0,2 ,15.0,,old property,0,0,0,0,0,1,38
907,926,ansal heights 86,0.74,sector 86,5441.0,1360.0,flat,Super Built up area 1360(126.35 sq.m.),1360.0187649999998,,,2.0,2.0,1 ,11.0,,under construction,0,0,0,1,0,1,45
908,927,godrej nature plus,1.7,sector 33,12592.0,1350.0,flat,Carpet area: 1350 (125.42 sq.m.),,,1350.0,3.0,3.0,3+ ,6.0,,new Property,1,0,0,0,0,1,38
909,928,not applicable,0.4,sector 4,9259.0,432.0120963386975,house,Plot area 432(40.13 sq.m.),,432.0,,1.0,1.0,1 ,1.0,,moderately old,0,0,0,0,0,1,0
910,929,emaar mgf emerald floors premier,2.3,sector 65,13939.0,1650.0,flat,Carpet area: 1650 (153.29 sq.m.),,,1650.0,3.0,4.0,3 ,3.0,South-West,relatively new,1,1,1,0,1,2,174
911,930,godrej air,1.3,sector 85,14541.0,894.0,flat,Super Built up area 1400(130.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),1399.952834,,894.0,2.0,2.0,3 ,30.0,,old property,0,0,0,0,0,1,111
912,931,zara aavaas,0.2,sector 104,6644.0,301.0,flat,Carpet area: 301 (27.96 sq.m.),,,301.0,1.0,2.0,2 ,3.0,,new Property,0,0,0,0,0,1,67
913,932,tulip violet,1.75,sector 69,8706.0,2010.0,flat,Super Built up area 2010(186.74 sq.m.),2010.050686,,,4.0,4.0,2 ,10.0,North-East,relatively new,0,0,0,0,0,0,109
914,933,hcbs sports ville,0.29,sohna road,3970.0,730.0,flat,Built Up area: 743 (69.03 sq.m.)Carpet area: 519 sq.ft. (48.22 sq.m.),,743.0,519.0,2.0,2.0,1 ,4.0,,undefined,0,0,0,0,0,1,0
915,934,pareena coban residences,1.3,sector 99a,6510.0,1997.0,flat,Built Up area: 1997 (185.53 sq.m.),,1997.0,,3.0,3.0,0 ,16.0,,undefined,0,0,0,0,0,1,0
916,935,ss the leaf,2.0,sector 85,11869.0,1685.0,flat,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),2407.992069,,1685.0,3.0,4.0,3 ,5.0,West,relatively new,1,0,0,0,0,1,156
917,936,sidhartha ncr one phase,0.46,sector 95,4646.0,990.0,flat,Built Up area: 990 (91.97 sq.m.),,990.0,,2.0,2.0,0 ,6.0,,undefined,0,0,0,0,0,1,0
918,937,,0.85,sector 3 phase 2,9444.0,900.0423549343499,house,Carpet area: 900 (83.61 sq.m.),,,900.0,5.0,3.0,3 ,1.0,,undefined,0,0,0,0,0,1,0
919,939,professional society,0.75,manesar,3067.0,2445.0,flat,Carpet area: 2445 (227.15 sq.m.),,,2445.0,3.0,4.0,3 ,3.0,East,relatively new,1,0,0,0,0,1,21
920,940,bestech park view city,3.0,sector 49,12589.0,2383.0,flat,Super Built up area 2383(221.39 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),2383.019821,2200.0,2000.0,4.0,4.0,3 ,5.0,North-East,moderately old,1,1,0,0,0,0,141
921,941,raheja vedaanta,0.7,sector 108,4522.0,1548.0,flat,Built Up area: 1548 (143.81 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),,1548.0,1200.0,2.0,2.0,3 ,1.0,West,undefined,0,0,0,0,0,1,0
922,942,tulip ivory,2.0,sector 70,8333.0,2400.0,flat,Super Built up area 2400(222.97 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),2400.026783,,1950.0,4.0,5.0,3+ ,7.0,North-East,moderately old,1,0,0,0,0,0,174
923,943,tashee capital gateway,0.96,sector 111,6500.0,1477.0,flat,Super Built up area 1478(137.31 sq.m.),1477.991109,,,2.0,2.0,1 ,4.0,North,old property,0,0,1,0,0,1,53
924,944,experion the heartsong,1.36,sector 108,6542.0,2079.0,flat,Super Built up area 1758(163.32 sq.m.)Carpet area: 986 sq.ft. (91.6 sq.m.),1757.960148,,986.0,3.0,2.0,3+ ,2.0,,relatively new,1,0,1,0,0,0,77
925,945,mapsko casa bella,1.38,sector 82,5443.0,2535.0,flat,Super Built up area 2535(235.51 sq.m.),2535.006089,,,4.0,5.0,3+ ,20.0,South-West,relatively new,1,0,0,0,0,1,79
926,946,unitech harmony,2.6,sector 50,9590.0,2711.0,flat,Super Built up area 2711(251.86 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2710.9958540000002,2700.0,2200.0,3.0,4.0,2 ,15.0,North-East,relatively new,1,0,0,1,0,0,174
927,947,la lagune,6.75,sector 54,21360.0,3160.0,flat,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),3159.958123,2455.0,2240.0,4.0,6.0,3+ ,11.0,East,moderately old,1,0,0,0,0,0,119
928,948,,3.93,sector 17a,24214.0,1623.0280003303874,house,Plot area 1623(150.78 sq.m.)Built Up area: 1622 sq.ft. (150.69 sq.m.),,1622.0,,19.0,17.0,3 ,4.0,North-West,relatively new,1,1,1,0,1,1,74
929,950,,17.0,sector 45,37777.0,4500.092648966303,house,Plot area 4500(418.06 sq.m.),,4500.0,,5.0,8.0,3+ ,3.0,North-East,relatively new,1,1,1,0,1,2,152
930,951,ss the leaf,1.05,sector 85,6402.0,1640.0,flat,Super Built up area 1640(152.36 sq.m.),1639.987804,,,2.0,2.0,3 ,11.0,North-East,relatively new,0,0,0,0,0,1,44
931,952,silverglades the melia,0.75,sohna road,5555.0,1350.0,flat,Built Up area: 1350 (125.42 sq.m.),,1350.0,,2.0,2.0,2 ,4.0,,moderately old,0,0,0,0,0,1,70
932,953,,0.85,sector 3 phase 3 extension,8500.0,1000.0,house,Built Up area: 1000 (92.9 sq.m.),,1000.0,,1.0,1.0,0 ,1.0,,undefined,0,0,0,0,0,1,0
933,954,mvn athens,0.24,sohna road,4210.0,570.0,flat,Super Built up area 570(52.95 sq.m.),569.948505,,,2.0,2.0,1 ,12.0,,relatively new,0,0,0,0,0,1,38
934,955,maxworth city residences,0.8,sector 10a,6400.0,1250.0,flat,Carpet area: 1250 (116.13 sq.m.),,,1250.0,2.0,3.0,2 ,9.0,,new Property,0,0,0,0,0,1,46
935,957,prasha apartments,0.75,manesar,3309.0,2267.0,flat,Super Built up area 2115(196.49 sq.m.),2114.998711,,,3.0,3.0,3+ ,3.0,West,moderately old,1,0,0,0,0,1,31
936,958,signature global city 37d ph 2,1.35,sector 37d,9375.0,1440.0,flat,Carpet area: 1440 (133.78 sq.m.),,,1440.0,3.0,3.0,3+ ,3.0,,under construction,0,1,0,0,0,1,51
937,959,jacobpura,0.53,sector 12,14583.0,363.4368785572242,house,Plot area 360(33.45 sq.m.),,360.0,,4.0,4.0,2 ,3.0,East,relatively new,0,0,0,0,0,1,0
938,960,adani brahma samsara vilasa,4.49,sector 63,14254.0,3150.0,flat,Carpet area: 350 (292.64 sq.m.),,,350.0,4.0,4.0,3+ ,3.0,North,new Property,0,0,0,0,0,0,96
939,961,mittal surya vihar,1.4,sector 21,5833.0,2400.0,flat,Super Built up area 2400(222.97 sq.m.),2400.026783,,,5.0,4.0,2 ,2.0,,moderately old,0,0,0,0,0,1,0
940,962,bhawani enclave,0.42,sector 12,8235.0,510.0182149362477,house,Plot area 565(52.49 sq.m.)Carpet area: 510 sq.ft. (47.38 sq.m.),,,510.0,3.0,3.0,0 ,2.0,East,new Property,0,1,0,0,0,1,0
941,963,,10.5,sector 26,43210.0,2429.9930571626937,house,Plot area 302(252.51 sq.m.)Built Up area: 300 sq.yards (250.84 sq.m.)Carpet area: 270 sq.yards (225.75 sq.m.),,2700.0,2430.0,12.0,12.0,3+ ,4.0,North-East,relatively new,1,1,0,0,0,0,72
942,964,,3.5,sector 11,15555.0,2250.080360012857,house,Built Up area: 2250 (209.03 sq.m.),,2250.0,,10.0,1.0,0 ,1.0,,new Property,0,0,0,0,0,1,0
943,965,,0.6,sector 4,105263.0,57.00008550012825,house,Plot area 57(5.3 sq.m.),,57.0,,3.0,3.0,1 ,2.0,,old property,0,0,0,1,0,1,0
944,966,sare green parc 2,0.61,sector 92,4837.0,1261.0,flat,Super Built up area 1261(117.15 sq.m.),1260.990885,,,3.0,2.0,2 ,6.0,,under construction,0,0,0,1,0,1,0
945,967,unitech uniworld resorts,9.55,sector 33,19293.0,4949.98185870523,house,Plot area 550(459.87 sq.m.),,4950.0,,6.0,7.0,3+ ,2.0,East,relatively new,1,1,1,0,1,0,126
946,968,green court,0.47,sector 90,6811.0,690.0,flat,Carpet area: 690 (64.1 sq.m.),,,690.0,2.0,2.0,1 ,0.0,East,new Property,0,0,0,0,0,1,49
947,969,,1.25,sector 4,78125.0,160.0,house,Built Up area: 160 (14.86 sq.m.),,160.0,,2.0,3.0,0 ,1.0,,undefined,0,0,0,0,0,1,0
948,970,birla navya,2.1,sector 63a,16666.0,1260.0,flat,Carpet area: 1260 (117.06 sq.m.),,,1260.0,2.0,2.0,2 ,2.0,,under construction,0,0,0,0,0,1,38
949,971,,7.6,sector 25,38760.0,1960.7843137254904,house,Plot area 215(179.77 sq.m.),,1935.0,,9.0,9.0,3 ,4.0,East,relatively new,0,1,1,0,1,0,84
950,972,ramprastha skyz,1.25,sector 37d,7250.0,1724.0,flat,Built Up area: 1725 (160.26 sq.m.),,1725.0,,3.0,3.0,3+ ,2.0,North-East,under construction,0,0,0,0,0,1,8
951,973,vasant appartments,1.7,sector 14,7391.0,2300.0,flat,Carpet area: 2300 (213.68 sq.m.),,,2300.0,5.0,5.0,2 ,2.0,North-West,old property,0,1,1,0,1,2,71
952,974,signature global solera 2,0.37,sector 107,6680.0,554.0,flat,Carpet area: 553.85 (51.45 sq.m.),,,553.85,2.0,2.0,2 ,9.0,,new Property,0,0,0,0,0,1,23
953,975,signature global solera,0.28,sector 107,5674.0,493.0,flat,Carpet area: 489 (45.43 sq.m.),,,489.0,2.0,2.0,2 ,11.0,North,relatively new,0,0,0,0,0,1,29
954,976,ireo skyon,2.85,sector 60,13936.0,2045.0,flat,Super Built up area 2045(189.99 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1490 sq.ft. (138.43 sq.m.),2045.033361,1640.0,1490.0,3.0,4.0,3+ ,5.0,South,relatively new,1,0,0,0,0,0,174
955,977,emaar mgf palm hills,1.09,sector 77,5382.0,2025.0,flat,Super Built up area 2025(188.13 sq.m.),2025.012507,,,3.0,4.0,3+ ,5.0,South,relatively new,1,0,0,1,0,0,167
956,978,breez global hill view,0.42,sohna road,7174.0,585.0,flat,Carpet area: 585.41 (54.39 sq.m.),,,585.41,2.0,2.0,1 ,18.0,,relatively new,0,0,0,0,0,1,44
957,979,pareena laxmi apartments,0.32,sector 99a,5521.0,580.0,flat,Super Built up area 575(53.42 sq.m.)Carpet area: 570.17 sq.ft. (52.97 sq.m.),575.007538,,570.17,2.0,2.0,1 ,2.0,,new Property,0,0,0,0,0,1,43
958,980,tulip violet,1.68,sector 69,10071.0,1668.0,flat,Super Built up area 1668(154.96 sq.m.),1667.973944,,,3.0,3.0,2 ,0.0,West,relatively new,0,0,0,0,0,1,157
959,981,ats triumph,2.78,sector 104,8825.0,3150.0,flat,Super Built up area 3150(292.64 sq.m.),3149.9476959999997,,,4.0,4.0,3+ ,11.0,South,relatively new,1,0,0,0,0,1,110
960,982,tulip white,0.91,sector 69,6862.0,1326.0,flat,Carpet area: 1326 (123.19 sq.m.),,,1326.0,3.0,2.0,2 ,12.0,,moderately old,0,0,0,0,0,1,43
961,983,emaar palm gardens,1.75,sector 83,9210.0,1900.0,flat,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),1900.0436280000001,1600.0,1240.04,3.0,3.0,3 ,6.0,East,relatively new,1,0,0,0,0,0,174
962,984,orris aster court premier,1.5,sector 85,5859.0,2560.0,flat,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),2559.978337,2017.0,1800.0,4.0,5.0,3+ ,6.0,West,new Property,1,0,0,0,0,0,28
963,985,umang monsoon breeze,0.95,sector 78,5491.0,1730.0,flat,Built Up area: 1730 (160.72 sq.m.),,1730.0,,3.0,3.0,2 ,9.0,East,relatively new,0,0,0,0,0,0,65
964,986,ats kocoon,1.75,sector 109,10028.0,1745.0,flat,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),1745.043468,,1250.0,3.0,3.0,3 ,10.0,North-East,relatively new,0,1,0,0,0,0,49
965,987,ansal heights,0.72,sector 92,4500.0,1600.0,flat,Super Built up area 1935(179.77 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),1935.026303,1700.0,1600.0,3.0,3.0,3 ,9.0,South-West,relatively new,1,0,0,0,0,1,49
966,988,ats triumph,2.6,sector 104,8253.0,3150.0,flat,Super Built up area 3150(292.64 sq.m.),3149.9476959999997,,,4.0,4.0,3+ ,12.0,South,relatively new,1,0,0,0,0,1,118
967,989,ats tourmaline,1.4,sector 109,8000.0,1750.0,flat,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),1749.994862,1466.0,,3.0,3.0,3+ ,5.0,East,relatively new,0,0,0,0,0,1,44
968,990,cghs vidya enclave,1.7,sector 56,10967.0,1550.0,flat,Super Built up area 1600(148.64 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),1599.946096,,1550.0,3.0,2.0,3 ,6.0,,old property,0,0,0,0,1,1,101
969,991,ss almeria,1.5,sector 84,7500.0,2000.0,flat,Super Built up area 2000(185.81 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),2000.0402589999999,,1700.0,3.0,3.0,3 ,2.0,,new Property,1,0,0,0,0,1,108
970,992,godrej aria,1.3,sector 79,8843.0,1470.0,flat,Super Built up area 1470(136.57 sq.m.),1470.025823,,,2.0,2.0,2 ,7.0,,relatively new,0,0,1,0,0,0,116
971,993,tulip violet,1.3,sector 69,8283.0,1569.0,flat,Super Built up area 1568(145.67 sq.m.),1567.9773129999999,,,3.0,3.0,1 ,12.0,South-West,relatively new,0,1,0,0,0,1,86
972,994,dlf city plots,12.5,sector 26,38580.0,3240.020736132711,house,Plot area 360(301.01 sq.m.),,3240.0,,4.0,5.0,2 ,2.0,North-East,moderately old,1,0,1,0,0,0,121
973,995,spaze privvy the address,1.45,sector 93,8033.0,1805.0,flat,Super Built up area 1805(167.69 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1804.9983909999999,1350.0,1100.0,3.0,4.0,2 ,12.0,North-East,relatively new,0,0,0,0,0,0,96
974,996,pyramid urban homes 2,0.41,sector 86,8283.0,495.0,flat,Carpet area: 501 (46.54 sq.m.),,,501.0,2.0,2.0,1 ,7.0,West,new Property,1,1,1,1,0,1,49
975,997,sare green parc phase 3,0.79,sector 92,6086.0,1298.0,flat,Super Built up area 1298(120.59 sq.m.),1298.018701,,,3.0,2.0,2 ,15.0,North,new Property,0,0,0,0,0,1,29
976,998,m3m skywalk,2.45,sector 74,12140.0,2018.0,flat,Super Built up area 2018(187.48 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1614 sq.ft. (149.95 sq.m.),2018.015972,1800.0,1614.0,3.0,3.0,3+ ,25.0,South-West,relatively new,0,0,1,0,0,1,137
977,999,sare petioles,1.22,sector 92,5250.0,2324.0,flat,Built Up area: 2093 (194.45 sq.m.),,2093.0,,4.0,3.0,3 ,9.0,,under construction,1,0,0,0,0,1,99
978,1000,landmark house,2.75,sector 43,25463.0,1079.998429093194,house,Plot area 120(100.34 sq.m.),,1080.0,,3.0,3.0,1 ,2.0,South-East,moderately old,0,1,0,0,0,1,21
979,1001,supertech hues,1.0,sector 68,8474.0,1180.0,flat,Carpet area: 1180 (109.63 sq.m.),,,1180.0,2.0,2.0,3 ,23.0,,new Property,0,0,0,0,0,1,49
980,1002,m3m skywalk,1.54,sector 74,11000.0,1400.0,flat,Super Built up area 1400(130.06 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),1399.952834,1200.0,1100.0,2.0,2.0,3+ ,22.0,South,relatively new,0,0,0,1,0,1,137
981,1003,godrej oasis,2.65,sector 88a,16747.0,1582.0,flat,Carpet area: 124,,124.0,,3.0,3.0,3+ ,10.0,,new Property,0,0,0,0,0,1,110
982,1004,sobha city,4.1,sector 108,23401.0,1752.0,flat,Super Built up area 2344(217.76 sq.m.)Built Up area: 2343 sq.ft. (217.67 sq.m.)Carpet area: 1752 sq.ft. (162.77 sq.m.),2343.946864,2343.0,1752.0,4.0,5.0,3 ,25.0,North-East,new Property,1,0,1,0,0,2,97
983,1005,emaar mgf the palm drive,2.8,sector 66,16470.0,1700.0,flat,Super Built up area 1950(181.16 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),1949.988124,1920.0,1700.0,3.0,4.0,3 ,8.0,North-East,relatively new,1,0,0,0,0,0,117
984,1006,ansal florence super,3.75,sector 57,23148.0,1620.0103680663556,house,Plot area 180(150.5 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),,,2700.0,3.0,4.0,3 ,2.0,,moderately old,1,0,1,0,1,0,38
985,1007,ramsons kshitij,0.19,sector 95,591.0,3215.0,flat,Carpet area: 3212 (298.4 sq.m.),,,3212.0,1.0,1.0,1 ,14.0,East,relatively new,0,0,0,0,0,1,49
986,1008,m3m heights,3.0,sector 65,18000.0,1667.0,flat,Super Built up area 1828(169.83 sq.m.),1828.0331370000001,,,3.0,3.0,3 ,20.0,South-East,under construction,0,0,0,0,0,1,60
987,1009,m3m golfestate,5.9,sector 65,17484.0,3375.0,flat,Super Built up area 3363(312.43 sq.m.),3362.965277,,,3.0,3.0,3 ,18.0,North,relatively new,1,0,1,0,0,1,76
988,1010,signature global city 81,0.89,sector 81,8279.0,1075.0,flat,Carpet area: 1075 (99.87 sq.m.),,,1075.0,2.0,2.0,2 ,3.0,North,under construction,0,0,0,1,0,1,20
989,1011,signature signum 95a,0.4,sector 95,7782.0,514.0,flat,Carpet area: 514 (47.75 sq.m.),,,514.0,2.0,2.0,2 ,3.0,East,new Property,0,0,0,0,0,0,44
990,1013,vatika city homes,0.75,sector 83,5660.0,1325.0,flat,Super Built up area 1325(123.1 sq.m.),1325.0360899999998,,,2.0,2.0,2 ,3.0,West,relatively new,0,0,0,0,0,0,49
991,1014,,3.5,sector 5,15555.0,2250.080360012857,house,Plot area 2050(190.45 sq.m.)Built Up area: 2250 sq.ft. (209.03 sq.m.),,2250.0,,6.0,5.0,2 ,3.0,North-East,old property,1,1,1,1,0,2,155
992,1015,signature global park 4,1.0,sector 36,9900.0,1010.0,flat,Carpet area: 1010 (93.83 sq.m.),,,1010.0,3.0,2.0,3 ,2.0,,new Property,0,0,0,0,0,1,128
993,1016,smart world gems,1.2,sector 89,8432.0,1423.0,flat,Built Up area: 1423 (132.2 sq.m.),,1423.0,,3.0,3.0,2 ,3.0,East,new Property,0,0,1,1,0,1,37
994,1017,sare homes,0.65,sector 92,4587.0,1417.0,flat,Carpet area: 1417 (131.64 sq.m.),,,1417.0,3.0,3.0,2 ,3.0,,relatively new,0,0,0,0,0,1,6
995,1018,birla navya,3.7,sector 63a,15416.0,2400.0,flat,Carpet area: 2400 (222.97 sq.m.),,,2400.0,3.0,3.0,3+ ,1.0,North,under construction,0,0,0,0,0,1,72
996,1019,vatika city,1.79,sector 49,12785.0,1400.0,flat,Carpet area: 1400 (130.06 sq.m.),,,1400.0,3.0,3.0,3 ,9.0,,old property,1,0,0,0,0,1,38
997,1021,eros rosewood city,3.75,sector 49,22046.0,1700.9888415131998,house,Plot area 189(158.03 sq.m.),,1701.0,,3.0,3.0,1 ,2.0,South,old property,0,1,0,0,0,0,6
998,1022,smart world orchard,2.2,sector 61,13500.0,1630.0,flat,Carpet area: 1600 (148.64 sq.m.),,,1600.0,3.0,3.0,2 ,1.0,North-East,under construction,0,0,0,0,0,1,49
999,1023,central park flower valley aqua front towers,2.0,sector 33,11179.0,1789.0,flat,Super Built up area 1789(166.2 sq.m.),1788.9601799999998,,,3.0,3.0,3+ ,8.0,North-East,new Property,0,0,0,0,0,1,23
1000,1024,m3m the marina,2.22,sector 68,14322.0,1550.0,flat,Super Built up area 1550(144 sq.m.),1550.0016,,,3.0,2.0,3 ,4.0,East,relatively new,0,0,0,0,0,1,44
1001,1025,elan the presidential,6.3,sector 106,15384.0,4095.0,flat,Super Built up area 4095(380.44 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4095.0181159999997,,3500.0,5.0,6.0,3+ ,10.0,North-East,under construction,0,0,0,0,0,0,62
1002,1026,sare crescent parc,0.87,sector 92,4971.0,1750.0,flat,Super Built up area 1750(162.58 sq.m.),1749.994862,,,4.0,4.0,2 ,2.0,East,moderately old,0,0,0,0,1,2,115
1003,1027,suncity heights,3.25,sector 54,14118.0,2302.0,flat,Carpet area: 2302 (213.86 sq.m.),,,2302.0,3.0,3.0,3+ ,0.0,East,old property,0,1,0,0,0,0,120
1004,1028,maruti kunj,0.8,sector 11,5161.0,1550.0,flat,Super Built up area 1550(144 sq.m.),1550.0016,,,3.0,2.0,0 ,0.0,,old property,0,0,0,0,0,1,8
1005,1029,eldeco accolade,1.35,sohna road,6136.0,2200.0,flat,Carpet area: 2200 (204.39 sq.m.),,,2200.0,3.0,3.0,3 ,2.0,,new Property,1,0,0,0,0,1,72
1006,1031,godrej nature plus,1.5,sector 33,9677.0,1550.0,flat,Super Built up area 1550(144 sq.m.),1550.0016,,,3.0,3.0,3 ,6.0,East,under construction,0,0,1,0,0,1,72
1007,1032,vatika gurgaon,1.12,sector 83,6455.0,1735.0,flat,Super Built up area 1735(161.19 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),1735.033041,1500.0,1400.0,3.0,3.0,2 ,17.0,South,moderately old,0,0,0,0,0,0,111
1008,1033,unitech espace,11.29,sector 50,34846.0,3239.970154393617,house,Plot area 360(301.01 sq.m.),,3240.0,,5.0,5.0,3+ ,2.0,,moderately old,0,1,1,0,0,1,21
1009,1034,,0.45,sector 21,8411.0,535.0136725716324,house,Carpet area: 535 (49.7 sq.m.),,,535.0,3.0,2.0,1 ,1.0,,undefined,0,0,0,0,0,1,0
1010,1035,pyramid pride,0.5,sector 76,6578.0,760.0,flat,Carpet area: 760 (70.61 sq.m.),,,760.0,2.0,2.0,1 ,8.0,North,under construction,0,0,0,0,0,1,76
1011,1036,ss,1.98,sector 85,8222.0,2408.0,flat,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),2407.992069,2300.0,2200.0,3.0,4.0,3 ,6.0,West,relatively new,0,0,0,0,0,1,42
1012,1037,ardee city,1.5,sector 52,9146.0,1640.0,flat,Super Built up area 1640(152.36 sq.m.),1639.987804,,,4.0,4.0,3 ,3.0,,old property,0,0,0,0,0,1,65
1013,1038,dlf the ultima,2.25,sector 81,10699.0,2103.0,flat,Super Built up area 2103(195.38 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1257 sq.ft. (116.78 sq.m.),2103.050782,1600.0,1257.0,3.0,3.0,3+ ,11.0,North-East,relatively new,1,1,1,1,0,2,49
1014,1039,green court,0.47,sector 90,6811.0,690.0,flat,Carpet area: 690 (64.1 sq.m.),,,690.0,2.0,2.0,1 ,0.0,East,new Property,0,0,0,0,0,1,49
1015,1040,ashiana mulberry,1.05,sohna road,5412.0,1940.0,flat,Super Built up area 1940(180.23 sq.m.)Built Up area: 1175.97 sq.ft. (109.25 sq.m.)Carpet area: 834.96 sq.ft. (77.57 sq.m.),1939.9776969999998,1175.97,834.96,2.0,2.0,3 ,1.0,North,new Property,0,0,1,0,0,1,49
1016,1041,emaar mgf emerald floors premier,2.85,sector 65,14430.0,1975.0,flat,Super Built up area 1975(183.48 sq.m.),1974.9603719999998,,,4.0,4.0,3+ ,0.0,West,relatively new,1,0,1,0,0,0,151
