sector,property_type,built_up_area,bedRoom,bathroom,balcony,agePossession,servant room,store room,furnishing_type,luxury_category,floor_category,price
6.0,0.0,1456.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,2.0
8.0,0.0,511.43716710403993,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,0.4
3.0,0.0,1280.2537070410451,3.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.6
94.0,0.0,1918.1418950301909,3.0,3.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,2.25
6.0,0.0,823.25058058523,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.96
36.0,1.0,745.576,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.55
55.0,0.0,1876.790524849048,3.0,3.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,2.4
99.0,0.0,2529.8903855085928,4.0,5.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,2.1
88.0,0.0,1504.2408267533674,3.0,3.0,2.0,4.0,0.0,0.0,1.0,2.0,1.0,1.9
21.0,1.0,8100.0,10.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,9.0
95.0,0.0,4399.514630747794,4.0,6.0,4.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0
27.0,0.0,5030.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,2.0,1.0,3.35
18.0,0.0,4771.451,4.0,5.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,6.5
95.0,0.0,1286.5408732001858,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,0.85
100.0,0.0,1735.4986065954483,3.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,1.72
75.0,0.0,1464.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.8
11.0,0.0,2124.124013005109,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.4
65.0,0.0,1799.414073385973,3.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,1.55
56.0,1.0,2710.845,5.0,7.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,5.15
106.0,0.0,1700.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,1.4
99.0,0.0,20256.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,2.5
113.0,0.0,1375.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,0.74
82.0,0.0,1529.927492825812,3.0,5.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.66
83.0,1.0,1621.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.18
8.0,0.0,1122.1496948924516,3.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.4
33.0,1.0,4491.218,5.0,6.0,4.0,0.0,1.0,1.0,0.0,2.0,2.0,15.0
41.0,0.0,1453.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.35
80.0,0.0,1446.7169066418949,3.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.43
27.0,0.0,1431.446,3.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.8
84.0,0.0,2114.2461681374825,4.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.3
65.0,0.0,1799.414073385973,3.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.55
85.0,0.0,4000.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,6.75
8.0,0.0,2367.0985186111075,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,2.23
41.0,1.0,4473.241999999999,5.0,6.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,11.0
11.0,0.0,491.2775197398978,2.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.5
96.0,0.0,1893.0646522999527,4.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7
13.0,0.0,1569.9962842545287,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,1.7
32.0,1.0,6362.006,5.0,5.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,15.0
8.0,0.0,2833.9730608453324,4.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,2.65
109.0,0.0,944.382,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.3
97.0,0.0,1471.4405050725911,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.05
87.0,0.0,1300.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,2.0,1.57
6.0,0.0,2111.0,3.0,3.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.9
7.0,0.0,1214.5875522526708,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.9
106.0,0.0,1178.5624709707383,2.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.9
55.0,0.0,2867.527349133144,4.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.8
19.0,0.0,2047.766,4.0,5.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.57
99.0,0.0,1566.316302833256,2.0,3.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0,1.04
11.0,0.0,2490.3790060380866,4.0,5.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,1.65
94.0,0.0,2489.6784598875665,3.0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,2.0,2.2
113.0,0.0,1202.7869999999998,3.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,0.87
31.0,1.0,1063.259,4.0,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,3.25
89.0,0.0,1600.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.79
12.0,0.0,1275.333,2.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,1.02
94.0,0.0,1760.0,3.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,2.34
108.0,0.0,608.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4
6.0,0.0,2320.3251277287504,3.0,4.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,1.95
57.0,0.0,1604.25,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.1
32.0,1.0,3618.000413485762,4.0,4.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,10.5
77.0,0.0,2021.0245097493053,3.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.4
6.0,0.0,1747.2164421737111,3.0,4.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,1.82
105.0,0.0,1511.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.7
6.0,0.0,1416.9052371747243,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.4
89.0,0.0,1498.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0
